StudentID,Course,Grade,Section_Grade,Course_Type
STU601,English I Honors,9,92.64,English
STU602,English Language and Composition AP,11,92.59,English
STU603,English Literature and Composition AP,12,80.56,English
STU604,English I Honors,9,89.51,English
STU605,English I Honors,9,93.96,English
STU606,English Literature and Composition AP,12,94.27,English
STU607,English Language and Composition AP,10,90.08,English
STU608,English Language and Composition AP,10,101.63,English
STU609,English I Honors,9,90.24,English
STU61,English Language and Composition AP,10,92.73,English
STU610,English Language and Composition AP,10,90.3,English
STU611,English II Honors,10,88.46,English
STU612,English I Honors,9,92.74,English
STU613,English I Honors,9,92.54,English
STU614,English Literature and Composition AP,12,92.66,English
STU615,English II Honors,10,95.17,English
STU616,English Language and Composition AP,10,94.04,English
STU617,English Literature and Composition AP,12,92.97,English
STU618,English Language and Composition AP,10,97,English
STU619,English I Honors,9,95.94,English
STU62,English Literature and Composition AP,11,87.94,English
STU620,English Literature and Composition AP,11,93.38,English
STU621,English I Honors,9,97.71,English
STU622,Mythology Classical and World Literature Post-AP,12,95.54,English
STU623,English II Honors,10,84.78,English
STU624,English Language and Composition AP,10,89.57,English
STU625,English I Honors,9,95.68,English
STU626,English I Honors,9,97.09,English
STU627,English Literature and Composition AP,11,93.16,English
STU628,English Literature and Composition AP,11,95.58,English
STU629,English I Honors,9,92.66,English
STU63,English I Honors,9,88.2,English
STU630,English Language and Composition AP,10,85.12,English
STU631,Shakespeare Post-AP,12,90.5,English
STU632,English I Honors,9,94.95,English
STU633,English Literature and Composition AP,11,97.18,English
STU634,English Language and Composition AP,10,97.27,English
STU634,Talented Writers Program I Honors,10,94.84,English
STU635,English Literature and Composition AP,12,93.94,English
STU636,English I Honors,9,89.85,English
STU637,English I Honors,9,96.83,English
STU638,English Language and Composition AP,10,93.33,English
STU639,English I Honors,9,94.23,English
STU64,English Literature and Composition AP,11,91.63,English
STU640,English I Honors,9,89.5,English
STU641,English II Honors,10,91.55,English
STU642,English Literature and Composition AP,11,92.37,English
STU643,English I Honors,9,97.41,English
STU644,English I Honors,9,94.8,English
STU645,English I Honors,9,81.94,English
STU646,English I Honors,9,97.35,English
STU647,English I Honors,9,87.9,English
STU648,English I Honors,9,92.5,English
STU649,English Language and Composition AP,10,93.03,English
STU65,English II Honors,10,89.34,English
STU650,English Literature and Composition AP,11,92.01,English
STU651,English I Honors,9,91,English
STU652,English Language and Composition AP,11,91.61,English
STU653,English II Honors,10,91.89,English
STU654,English Language and Composition AP,10,97.49,English
STU655,English II Honors,10,92.51,English
STU656,English Language and Composition AP,10,91.09,English
STU657,English II Honors,10,95.22,English
STU658,English Language and Composition AP,10,90.35,English
STU659,English Literature and Composition AP,12,96.2,English
STU66,Shakespeare Post-AP,12,95.48,English
STU660,English II Honors,10,90.53,English
STU661,English I Honors,9,96.56,English
