StudentID,Course,Grade,Section_Grade
STU260,Computer Science Principles AP,9,89.56
STU260,Chemistry,9,90.73
STU260,Human Geography AP,9,91.79
STU713,English I Honors,9,89.66
STU713,Spanish II,9,84.35
STU713,Geometry,9,75.34
STU713,Chemistry,9,87.83
STU713,Modern World Honors: 1750 to the Present,9,93.1
STU844,English I Honors,9,93.01
STU844,Latin I Honors,9,95.93
STU844,Algebra II Honors,9,91.35
STU844,Chemistry Honors,9,90.32
STU844,Human Geography AP,9,96.4
STU619,English I Honors,9,95.94
STU619,Spanish II,9,95.42
STU619,Geometry,9,89.5
STU619,Chemistry Honors,9,80.37
STU619,World History AP,9,91.84
STU197,English I Honors,9,97.94
STU197,Chinese III Honors,9,98.71
STU197,Geometry Honors,9,96.63
STU197,Chemistry Honors,9,95.59
STU197,World History AP,9,97.96
STU534,English I Honors,9,90.35
STU534,Spanish II Honors,9,91.48
STU534,Geometry Honors,9,83.39
STU534,Chemistry Honors,9,82.53
STU534,World History AP,9,89.39
STU322,English I Honors,9,85.66
STU322,Chinese II,9,86
STU322,Geometry,9,89.98
STU322,Chemistry,9,87.6
STU322,Modern World Honors: 1750 to the Present,9,93.14
STU629,English I Honors,9,92.66
STU629,French II,9,86.08
STU629,Geometry Honors,9,79.52
STU629,Chemistry,9,90.8
STU629,Human Geography AP,9,92.12
STU849,English I Honors,9,94.97
STU849,Latin I Honors,9,100.75
STU849,Spanish II Honors,9,93.74
STU849,Geometry Honors,9,92.61
STU849,Chemistry Honors,9,94.36
STU849,Human Geography AP,9,94.59
STU791,English I Honors,9,90.45
STU791,Spanish II,9,93.65
STU791,Geometry Honors,9,92.5
STU791,Chemistry Honors,9,91.64
STU791,Human Geography AP,9,91.54
STU332,English I Honors,9,77.63
STU332,Latin I Honors,9,83.7
STU332,Geometry,9,79.7
STU332,Chemistry,9,80.84
STU332,Modern World Honors: 1750 to the Present,9,86.27
STU339,English I Honors,9,97.27
STU339,Latin I Honors,9,96.3
STU339,Geometry Honors,9,85.1
STU339,Chemistry,9,95.6
STU339,World History AP,9,92.04
STU598,English I Honors,9,97.53
STU598,Spanish II,9,93.47
STU598,Geometry,9,88.75
STU598,Chemistry,9,93.42
STU598,World History AP,9,93.88
STU249,English I Honors,9,94.97
STU249,Spanish II Honors,9,97.11
STU249,Geometry Honors,9,89.56
STU249,Chemistry,9,101.37
STU249,Human Geography AP,9,91.86
STU842,English I Honors,9,98.85
STU842,Spanish IV Honors - Heritage Speakers,9,100.35
STU842,Algebra II Honors,9,97.26
STU842,Chemistry Honors,9,97.94
STU842,World History AP,9,100.82
STU613,English I Honors,9,92.54
STU613,Spanish II Honors,9,90.18
STU613,Geometry Honors,9,87.1
STU613,Chemistry Honors,9,81.9
STU613,Human Geography AP,9,87.28
STU589,English I Honors,9,87.9
STU589,Latin I Honors,9,95.9
STU589,Geometry,9,92.36
STU589,Chemistry,9,93.16
STU589,Human Geography AP,9,90.76
STU314,English I Honors,9,92.54
STU314,Spanish II Honors,9,90.99
STU314,Geometry,9,88.32
STU314,Chemistry,9,90.8
STU314,Human Geography AP,9,89.46
STU110,English I Honors,9,84.92
STU110,"Great Decisions, Character, and Consequences",9,100
STU110,Spanish II Honors,9,87.72
STU110,Geometry,9,85.23
STU110,Chemistry,9,91.67
STU110,Human Geography AP,9,86.9
STU576,English I Honors,9,93.83
STU576,Spanish II Honors,9,84.38
STU576,Geometry,9,91.31
STU576,Computer Science Principles AP,9,90.18
STU576,Chemistry,9,92.21
STU576,Modern World Honors: 1750 to the Present,9,94.17
STU612,English I Honors,9,92.74
STU612,Spanish II Honors,9,94.88
STU612,Geometry Honors,9,96.56
STU612,Computer Science Principles AP,9,96.56
STU612,Chemistry Honors,9,98.76
STU612,Human Geography AP,9,95.26
STU364,English I Honors,9,86.93
STU364,French II Honors,9,83.23
STU364,Geometry,9,88.02
STU364,Computer Science Principles AP,9,87.95
STU364,Chemistry,9,90.68
STU364,Human Geography AP,9,91.98
STU315,English I Honors,9,97.35
STU315,Spanish II Honors,9,93.6
STU315,Geometry Honors,9,87.48
STU315,Computer Science Principles AP,9,94.72
STU315,Chemistry Honors,9,92.89
STU315,World History AP,9,92.65
STU848,English I Honors,9,95.18
STU848,Spanish IV Honors - Heritage Speakers,9,99.56
STU848,Algebra II Honors,9,96.74
STU848,Chemistry Honors,9,97.2
STU848,Human Geography AP,9,96.74
STU743,English I Honors,9,97.18
STU743,Chinese II Honors,9,94.86
STU743,Geometry Honors,9,93.9
STU743,Computer Science Principles AP,9,99.4
STU743,Chemistry Honors,9,93.57
STU743,World History AP,9,95.92
STU403,English I Honors,9,90
STU403,French II Honors,9,85.03
STU403,Geometry Honors,9,94.39
STU403,Chemistry Honors,9,92.72
STU403,Human Geography AP,9,87.18
STU114,English I Honors,9,92.59
STU114,Geometry Honors,9,83.74
STU114,Computer Science Principles AP,9,91.96
STU114,Chemistry Honors,9,82.61
STU114,Human Geography AP,9,90.14
STU727,English I Honors,9,94.84
